target_key,train_rows,test_rows,model_type,accuracy,balanced_accuracy,roc_auc,brier,positive_rate_train,positive_rate_test,recommended_apply,fallback_mode,feature_numeric,feature_categorical,all_results,target_symbol,side,model_path
BNB/USDT:USDT|long,1687,563,logreg,0.41563055062166965,0.4167000213469954,0.4634432703596969,0.27267957258217734,0.5394190871369294,0.3836589698046181,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.41563055062166965, 'balanced_accuracy': 0.4167000213469954, 'roc_auc': 0.4634432703596969, 'brier': 0.27267957258217734}, 'mlp': {'accuracy': 0.41563055062166965, 'balanced_accuracy': 0.43679955171309637, 'roc_auc': 0.42652631017184334, 'brier': 0.28060803239717036}, 'hgb': {'accuracy': 0.4067495559502664, 'balanced_accuracy': 0.42260379976518303, 'roc_auc': 0.4514956238659409, 'brier': 0.313010440549433}, 'extratrees': {'accuracy': 0.413854351687389, 'balanced_accuracy': 0.41263742128295444, 'roc_auc': 0.41337789518625256, 'brier': 0.27169990658985776}}",BNB/USDT:USDT,long,artifacts/pwin_ml_by_side_v1/pwin_model_BNB_USDT_USDT_long.joblib
BTC/USDT:USDT|long,2875,959,logreg,0.5099061522419187,0.4307849472583864,0.4759954385631474,0.2519126295017787,0.49878260869565216,0.3545359749739312,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5099061522419187, 'balanced_accuracy': 0.4307849472583864, 'roc_auc': 0.4759954385631474, 'brier': 0.2519126295017787}, 'mlp': {'accuracy': 0.502606882168926, 'balanced_accuracy': 0.4357360068421553, 'roc_auc': 0.4404447400931293, 'brier': 0.25793647372576894}, 'hgb': {'accuracy': 0.4744525547445255, 'balanced_accuracy': 0.46960467547277396, 'roc_auc': 0.4584339066806044, 'brier': 0.29534929494262346}, 'extratrees': {'accuracy': 0.4421272158498436, 'balanced_accuracy': 0.4100969305331179, 'roc_auc': 0.4038914758148817, 'brier': 0.2552332482493492}}",BTC/USDT:USDT,long,artifacts/pwin_ml_by_side_v1/pwin_model_BTC_USDT_USDT_long.joblib
ETH/USDT:USDT|long,1431,477,mlp,0.6163522012578616,0.6511684336269972,0.6818164849932806,0.24236987028142584,0.5052410901467506,0.37945492662473795,True,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.6331236897274634, 'balanced_accuracy': 0.6238987606390921, 'roc_auc': 0.6487046438703897, 'brier': 0.2403840409752644}, 'mlp': {'accuracy': 0.6163522012578616, 'balanced_accuracy': 0.6511684336269972, 'roc_auc': 0.6818164849932806, 'brier': 0.24236987028142584}, 'hgb': {'accuracy': 0.45073375262054505, 'balanced_accuracy': 0.4415223234284008, 'roc_auc': 0.40423883828579954, 'brier': 0.3184461351477978}, 'extratrees': {'accuracy': 0.5974842767295597, 'balanced_accuracy': 0.5672782589219053, 'roc_auc': 0.5309280274749888, 'brier': 0.25044258537385033}}",ETH/USDT:USDT,long,artifacts/pwin_ml_by_side_v1/pwin_model_ETH_USDT_USDT_long.joblib
LINK/USDT:USDT|long,1320,440,logreg,0.42272727272727273,0.4430466656330978,0.5069655157139377,0.2548562559917615,0.4037878787878788,0.3704545454545455,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.42272727272727273, 'balanced_accuracy': 0.4430466656330978, 'roc_auc': 0.5069655157139377, 'brier': 0.2548562559917615}, 'mlp': {'accuracy': 0.4909090909090909, 'balanced_accuracy': 0.466899957918983, 'roc_auc': 0.4406989878408009, 'brier': 0.24990336704251717}, 'hgb': {'accuracy': 0.5454545454545454, 'balanced_accuracy': 0.4862350778498815, 'roc_auc': 0.4696573719297468, 'brier': 0.26656301788282344}, 'extratrees': {'accuracy': 0.42272727272727273, 'balanced_accuracy': 0.4430466656330978, 'roc_auc': 0.4735221811255565, 'brier': 0.2548294383054439}}",LINK/USDT:USDT,long,artifacts/pwin_ml_by_side_v1/pwin_model_LINK_USDT_USDT_long.joblib
XRP/USDT:USDT|long,1209,404,logreg,0.5470297029702971,0.523784483456031,0.5283553110589758,0.2514199123962007,0.41273779983457404,0.349009900990099,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5470297029702971, 'balanced_accuracy': 0.523784483456031, 'roc_auc': 0.5283553110589758, 'brier': 0.2514199123962007}, 'mlp': {'accuracy': 0.5742574257425742, 'balanced_accuracy': 0.5019281072189413, 'roc_auc': 0.5020090068225332, 'brier': 0.2544616358623268}, 'hgb': {'accuracy': 0.5495049504950495, 'balanced_accuracy': 0.5092360380767468, 'roc_auc': 0.49174824043362186, 'brier': 0.26921998237125416}, 'extratrees': {'accuracy': 0.5, 'balanced_accuracy': 0.49588760348407623, 'roc_auc': 0.47466494080845667, 'brier': 0.26131300819891784}}",XRP/USDT:USDT,long,artifacts/pwin_ml_by_side_v1/pwin_model_XRP_USDT_USDT_long.joblib
BNB/USDT:USDT|short,1830,611,extratrees,0.6072013093289689,0.6042617715767591,0.6666184444587325,0.2372732458725938,0.48688524590163934,0.49427168576104746,True,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5711947626841244, 'balanced_accuracy': 0.568738078398594, 'roc_auc': 0.6100430785057546, 'brier': 0.24108987030836287}, 'mlp': {'accuracy': 0.5662847790507365, 'balanced_accuracy': 0.5648213635097195, 'roc_auc': 0.5934867871150261, 'brier': 0.24494318400347545}, 'hgb': {'accuracy': 0.5646481178396072, 'balanced_accuracy': 0.5641033884138108, 'roc_auc': 0.6335005036541718, 'brier': 0.23666559629614758}, 'extratrees': {'accuracy': 0.6072013093289689, 'balanced_accuracy': 0.6042617715767591, 'roc_auc': 0.6666184444587325, 'brier': 0.2372732458725938}}",BNB/USDT:USDT,short,artifacts/pwin_ml_by_side_v1/pwin_model_BNB_USDT_USDT_short.joblib
BTC/USDT:USDT|short,4161,1387,hgb,0.5111751982696467,0.5106068168111964,0.531229854222555,0.2712024723926894,0.5001201634222543,0.4938716654650324,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5061283345349675, 'balanced_accuracy': 0.5061867032669953, 'roc_auc': 0.5215380456256369, 'brier': 0.2501750918969814}, 'mlp': {'accuracy': 0.5263157894736842, 'balanced_accuracy': 0.525776197309044, 'roc_auc': 0.5291222159835299, 'brier': 0.25350804311664865}, 'hgb': {'accuracy': 0.5111751982696467, 'balanced_accuracy': 0.5106068168111964, 'roc_auc': 0.531229854222555, 'brier': 0.2712024723926894}, 'extratrees': {'accuracy': 0.5097332372025956, 'balanced_accuracy': 0.5098363383034916, 'roc_auc': 0.529839665606089, 'brier': 0.24949840491041944}}",BTC/USDT:USDT,short,artifacts/pwin_ml_by_side_v1/pwin_model_BTC_USDT_USDT_short.joblib
ETH/USDT:USDT|short,2087,696,logreg,0.49712643678160917,0.5036482446187356,0.558028208674623,0.2502506306274192,0.515093435553426,0.47270114942528735,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.49712643678160917, 'balanced_accuracy': 0.5036482446187356, 'roc_auc': 0.558028208674623, 'brier': 0.2502506306274192}, 'mlp': {'accuracy': 0.5545977011494253, 'balanced_accuracy': 0.554210181956718, 'roc_auc': 0.5444953330627862, 'brier': 0.25120401060518904}, 'hgb': {'accuracy': 0.5258620689655172, 'balanced_accuracy': 0.5264901484972214, 'roc_auc': 0.5206264545356666, 'brier': 0.27348476340452377}, 'extratrees': {'accuracy': 0.5474137931034483, 'balanced_accuracy': 0.5513321683244576, 'roc_auc': 0.5522680403832934, 'brier': 0.252902055258207}}",ETH/USDT:USDT,short,artifacts/pwin_ml_by_side_v1/pwin_model_ETH_USDT_USDT_short.joblib
LINK/USDT:USDT|short,2198,733,extratrees,0.5538881309686221,0.5541930968760237,0.5393400637303076,0.249553964951612,0.5154686078252957,0.4965893587994543,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.5429740791268759, 'balanced_accuracy': 0.5424967985943596, 'roc_auc': 0.5354909318323953, 'brier': 0.25479607739370347}, 'mlp': {'accuracy': 0.5443383356070941, 'balanced_accuracy': 0.5442799070847851, 'roc_auc': 0.5289392179636082, 'brier': 0.25367382847159536}, 'hgb': {'accuracy': 0.5102319236016372, 'balanced_accuracy': 0.5104045683313976, 'roc_auc': 0.5062017927871586, 'brier': 0.2825903041920349}, 'extratrees': {'accuracy': 0.5538881309686221, 'balanced_accuracy': 0.5541930968760237, 'roc_auc': 0.5393400637303076, 'brier': 0.249553964951612}}",LINK/USDT:USDT,short,artifacts/pwin_ml_by_side_v1/pwin_model_LINK_USDT_USDT_short.joblib
XRP/USDT:USDT|short,2308,770,hgb,0.5051948051948052,0.5040361498639994,0.4991799461396724,0.27683071962026556,0.5394280762564991,0.5103896103896104,False,symbol,"['signal_strength', 'adx', 'atrp', 'base_weight', 'p_win', 'expected_return', 'policy_score', 'size_mult', 'ret_1h_lag', 'ret_4h_lag', 'ret_12h_lag', 'ret_24h_lag', 'ema_gap_fast_slow', 'dist_close_ema_fast', 'dist_close_ema_slow', 'range_pct', 'rolling_vol_24h', 'rolling_vol_72h', 'atrp_zscore', 'breakout_distance_up', 'breakout_distance_down', 'pullback_depth', 'btc_ret_24h_lag', 'btc_rolling_vol_24h', 'btc_atrp', 'btc_adx']","['symbol', 'strategy_id', 'side', 'band', 'reason']","{'logreg': {'accuracy': 0.4597402597402597, 'balanced_accuracy': 0.4576170517207632, 'roc_auc': 0.45929090651385995, 'brier': 0.2605350303284888}, 'mlp': {'accuracy': 0.4701298701298701, 'balanced_accuracy': 0.4643394685511032, 'roc_auc': 0.43687610099823837, 'brier': 0.25686383927246886}, 'hgb': {'accuracy': 0.5051948051948052, 'balanced_accuracy': 0.5040361498639994, 'roc_auc': 0.4991799461396724, 'brier': 0.27683071962026556}, 'extratrees': {'accuracy': 0.4779220779220779, 'balanced_accuracy': 0.48001835840740814, 'roc_auc': 0.4681191406645474, 'brier': 0.2557718105702408}}",XRP/USDT:USDT,short,artifacts/pwin_ml_by_side_v1/pwin_model_XRP_USDT_USDT_short.joblib
