tag,window,return_pct,sharpe,mdd_pct,trade_count,win_rate_pct,avg_active_symbols,avg_gross_weight,base_return_pct,base_sharpe,base_mdd_pct,base_trade_count,base_win_rate_pct,base_avg_active_symbols,base_avg_gross_weight,delta_return_pct,delta_sharpe,delta_mdd_pct,delta_trade_count,delta_win_rate_pct
xrp_short_sl_1_10,1m,3.144859490047325,6.622795780009595,-0.7282522652704904,20,80.0,0.1763888888888889,0.05291666666666666,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,0.35805695156734263,0.9205509775755596,0.0021543947770319427,0,0.0
xrp_short_sl_1_15,1m,3.1059627976046666,6.522842140500025,-0.7471027545875142,20,80.0,0.1763888888888889,0.05291666666666666,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,0.3191602591246845,0.8205973380659897,-0.01669609453999188,0,0.0
xrp_short_sl_1_20,1m,3.067073440303547,6.421882205072578,-0.7659532439045269,20,80.0,0.1763888888888889,0.05291666666666666,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,0.28027090182356496,0.7196374026385426,-0.0355465838570046,0,0.0
xrp_short_sl_1_30,1m,2.9893167311259017,6.21734683487644,-0.8036542225385301,20,80.0,0.1763888888888889,0.05291666666666666,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,0.20251419264591952,0.5151020324424049,-0.07324756249100783,0,0.0
xrp_short_sl_0_90,1m,2.9026202887631136,5.995922403163291,-0.6920477203367748,20,80.0,0.17777777777777778,0.05333333333333333,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,0.11581775028313146,0.2936776007292563,0.03835893971074755,0,0.0
xrp_short_sl_0_95,1m,2.8447005493970057,5.849326006387042,-0.711227190192143,20,80.0,0.17777777777777778,0.05333333333333333,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,0.05789801091702351,0.1470812039530065,0.019179469855379327,0,0.0
xrp_short_sl_1_00,1m,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,0.0,0.0,0.0,0,0.0
xrp_short_sl_0_80,1m,2.6400433450041394,5.5773537476197985,-0.7316334534594904,23,65.21739130434783,0.175,0.0525,2.786802538479982,5.702244802434035,-0.7304066600475223,20,80.0,0.17777777777777778,0.05333333333333333,-0.14675919347584276,-0.12489105481423657,-0.0012267934119680746,3,-14.782608695652172
xrp_short_sl_1_20,3m,12.067121802655013,4.378538269332791,-3.3530011665321102,94,53.191489361702125,0.24768518518518517,0.07430555555555556,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,1.9329321028034308,0.6193214042114423,-0.45700492951833427,-5,2.6864388566516197
xrp_short_sl_1_15,3m,11.524139783344767,4.235095031569612,-3.2275378176991,95,51.578947368421055,0.24722222222222223,0.07416666666666666,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,1.3899500834931846,0.475878166448263,-0.3315415806853239,-4,1.0738968633705497
xrp_short_sl_1_30,3m,11.365208790026493,4.100039781148334,-3.2658942152212322,94,53.191489361702125,0.24768518518518517,0.07430555555555556,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,1.231019090174911,0.3408229160269851,-0.3698979782074563,-5,2.6864388566516197
xrp_short_sl_1_10,3m,10.848198845225966,4.024651509849035,-3.101940968097039,96,51.041666666666664,0.24722222222222223,0.07416666666666666,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,0.7140091453743835,0.2654346447276863,-0.20594473108326294,-3,0.5366161616161591
xrp_short_sl_0_80,3m,10.814794245309312,4.044437364978171,-2.732607455936953,108,47.22222222222222,0.2388888888888889,0.07166666666666667,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,0.6806045454577294,0.2852204998568215,0.1633887810768231,9,-3.2828282828282838
xrp_short_sl_0_95,3m,10.596828022636618,3.926390488983716,-2.7703193660989056,100,50.0,0.24305555555555555,0.07291666666666667,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,0.46263832278503614,0.16717362386236667,0.12567687091487034,1,-0.5050505050505052
xrp_short_sl_0_90,3m,10.232126119776241,3.800127159021175,-2.8895704428596014,104,49.03846153846153,0.24166666666666667,0.0725,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,0.09793641992465929,0.040910293899826033,0.006425794154174547,5,-1.4665889665889722
xrp_short_sl_1_00,3m,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,10.134189699851582,3.759216865121349,-2.895996237013776,99,50.505050505050505,0.2439814814814815,0.07319444444444444,0.0,0.0,0.0,0,0.0
xrp_short_sl_1_20,6m,20.24984459047998,3.1834426155354225,-3.353001166531966,187,54.01069518716578,0.24656593406593408,0.07396978021978022,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,3.234988605643686,0.4514664427042381,0.007513613869569724,-14,3.761938968260303
xrp_short_sl_1_30,6m,20.1189650216558,3.1111760777958226,-3.2658942152212433,181,54.14364640883977,0.24885531135531136,0.0746565934065934,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,3.104109036819505,0.3791999049646382,0.09462056518029227,-20,3.8948901899342943
xrp_short_sl_1_15,6m,18.37841362182935,2.925304790856049,-3.2275378176990777,193,52.84974093264248,0.2445054945054945,0.07335164835164834,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,1.363557636993054,0.19332861802486478,0.13297696270245796,-8,2.600984713737006
xrp_short_sl_1_10,6m,17.64608584843328,2.826356483177316,-3.1019409680971055,196,52.04081632653062,0.2438186813186813,0.0731456043956044,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,0.6312298635969853,0.09438031034613159,0.2585738123044301,-5,1.7920601076251401
xrp_short_sl_1_00,6m,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,0.0,0.0,0.0,0,0.0
xrp_short_sl_0_90,6m,16.56834019241358,2.659691008798826,-3.400503663829091,212,49.056603773584904,0.23855311355311357,0.07156593406593408,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,-0.44651579242271566,-0.0722851640323583,-0.039988883427555244,11,-1.1921524453205734
xrp_short_sl_0_95,6m,16.295573244334527,2.6297657182638665,-3.380663830663344,206,50.48543689320388,0.24015567765567766,0.0720467032967033,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,-0.7192827405017681,-0.10221045456731792,-0.020149050261808465,5,0.23668067429840534
xrp_short_sl_0_80,6m,15.51568965058352,2.5099084688601985,-3.920088434963309,224,45.982142857142854,0.23557692307692307,0.07067307692307692,17.014855984836295,2.7319761728311844,-3.3605147804015356,201,50.24875621890548,0.2413003663003663,0.0723901098901099,-1.4991663342527755,-0.22206770397098596,-0.5595736545617735,23,-4.266613361762623
xrp_short_sl_1_20,12m,26.146878786187845,2.2913739209344754,-3.3530011665320547,324,54.01234567901234,0.2146118721461187,0.06438356164383562,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,4.482655325174623,0.33851673132314386,0.007513613869414293,-28,2.875982042648708
xrp_short_sl_1_30,12m,25.88932674736606,2.2445356965601593,-3.265894215221221,315,54.6031746031746,0.21621004566210045,0.06486301369863014,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,4.225103286352837,0.2916785069488277,0.09462056518024786,-37,3.466810966810968
xrp_short_sl_1_15,12m,21.99716782390282,1.9723120329988102,-3.264585220731997,337,52.818991097922854,0.21232876712328766,0.0636986301369863,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,0.3329443628895987,0.019454843387478604,0.09592955966947203,-15,1.6826274615592212
xrp_short_sl_1_10,12m,21.698453046754306,1.9538690167435293,-3.101940968097072,342,52.046783625730995,0.2117579908675799,0.06352739726027397,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,0.03422958574108392,0.001011827132197718,0.2585738123043968,-10,0.9104199893673623
xrp_short_sl_1_00,12m,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,0.0,0.0,0.0,0,0.0
xrp_short_sl_0_95,12m,20.73214487101096,1.87986456644359,-3.3806638306633996,358,50.83798882681564,0.20833333333333334,0.0625,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,-0.9320785900022628,-0.07299262316774158,-0.02014905026193059,6,-0.2983748095479939
xrp_short_sl_0_90,12m,20.726576093114836,1.8732845103694327,-3.4005036638291575,372,49.73118279569893,0.2067351598173516,0.06202054794520547,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,-0.9376473678983857,-0.07957267924189892,-0.03998888342768847,20,-1.4051808406647055
xrp_short_sl_0_80,12m,17.89098732852206,1.6397944533803104,-4.207887432461166,386,47.40932642487047,0.20536529680365298,0.0616095890410959,21.664223461013222,1.9528571896113316,-3.360514780401469,352,51.13636363636363,0.2091324200913242,0.06273972602739725,-3.7732361324911636,-0.3130627362310212,-0.8473726520596969,34,-3.727037211493162
